BR_id,BRsummary,BRdescription,commit_id,file_new_name
1092,tqdm fails in notebook for versions tqdm&lt; 4.41.0,  🐛 bug    tqdm notebook doesn t have a  method until version          training fails in notebooks if you have a lower version of tqdm     to reproduce    train any model with tqdm       in a colab notebook   expected behavior    attributeerror   tqdm notebook  object has no attribute  reset        ,36274bed49cf40c0d9bdabb3058674879badf1e4,requirements.txt
1114,ReduceLROnPlateau scheduler type check,  🐛 bug    incorrect type check for scheduler of class reducelronplateau         pytorch lightning pytorch lightning trainer trainer py               line          in                        isinstance              i believe  this check   isinstance   must look like this   isinstance   to reproduce    steps to reproduce the behavior     create a scheduler of type optim lr scheduler reducelronplateau in the configure optimizers method of a lightningmodule class   return an optimizer and scheduler from this method  place them in lists  return  optimizer    scheduler    execute the trainer fit    put a break point here        pytorch lightning pytorch lightning trainer trainer py               line          in                        scheduler  reduce on plateau                   make sure that the condition is never true      ,384e124490f7a629dc677fc5b658b69afade0a04,CHANGELOG.md
1116,Wandb logger doesn't upload saved model checkpoint for final epoch,  🐛 bug    when training a model on the tpu and using the wandb logger  the checkpoint for the last epoch trained doesn t get uploaded to wandb   to reproduce    colab notebook     jowtt     ,a707d4bea1a78a98265fd1ea5b7a7a6cadc37fb9,CHANGELOG.md
1119,Checkpoint fails in single node multi-GPU mode using  DDP,  🐛 bug    checkpoint fails in single node multi gpu mode using  ddp   to reproduce    python pl examples basic examples gpu template py   distributed backend ddp   gpus    epoch                  s  l home xz   envs x lib     multiprocessing semaphore tracker py    userwarning  semaphore tracker  there appear to be   leaked semaphores to clean up at shutdown                                                                                                                                                                                                                     len    traceback       file  gpu template py   line    in       main     file  gpu template py   line    in main      trainer fit     file   home xz   envs x lib     site packages pytorch lightning trainer trainer py   line    in fit      mp spawn      file   home xz   envs x lib     site packages torch multiprocessing spawn py   line    in spawn      while not spawn context join      file   home xz   envs x lib     site pa,b4d4e489bf413ebf3288d29c5905d2292ce18d58,pytorch_lightning\callbacks\model_checkpoint.py
1131,Better message when DataLoader is wrong,  on the verge between bug and improvement   there was a bug in my validation dataloader and was returning irrelevant staff  accidentally the length was     probably an edge case combination  the error i was getting during the validation sanity check was quite cryptic   traceback       file  unet waveprop py   line    in       trainer fit     file   mnt rds home code pytorch lightning pytorch lightning trainer trainer py   line    in fit      self run pretrain routine     file   mnt rds home code pytorch lightning pytorch lightning trainer trainer py   line    in run pretrain routine      false     file   mnt rds home code pytorch lightning pytorch lightning trainer evaluation loop py   line    in evaluate      eval results   model validation epoch end     file  unet waveprop py   line    in validation epoch end      avg loss   torch stack  mean   runtimeerror  stack expects a non empty tensorlist      i had to go through the code of pytorch lightning for few hours to understand what w,2ccc7456ca421afcdfba0c4482635c99e2593f70,CHANGELOG.md
1139,Can't cast Trainer automatically generated args to their required types,  ❓ questions and help    what is your question     i m not sure  that this is a bug  so i put it like a question   the problem is  if i want to add the trainer arguments to my custom argumentparser object  i call the add argparse args trainer classmethod  but this method doesn t cast the trainer arguments to their required types   it forces me to cast the arguments by myself  like so   trainer args update                           accumulate grad batches   int                 train percent check   float                 val percent check   float                 val check interval   int                 track grad norm   int                 max epochs   int                 precision   int                 gradient clip val   float                  and after that  i can pass updated arguments to the trainer   trainer   pytorch lightning trainer             trainer args     and i can t find a central place  where the trainer handles an automatically generated arguments     what have you tri,ced662fc2790058f5a55ca20244b31003c970ee5,CHANGELOG.md
1143,`use_amp` is broken in 0.7.0,  i see that use amp is deprecated but since the trainer still accepts it as an argument  i believe this is still a bug   the issue is that the hook that deals with this   specifically checks if   however  the trainer does not set  if    proposed solution   if use amp is passed in  set precision     and raise a deprecation warning    ,4ed3027309fe1882554e9b7ffe33f1aa92c88106,CHANGELOG.md
1155,No validation checks when overfit_pct is set,  🐛 bug    when setting the overfit pct to any value between   and     in trainer  the validation checks are disabled   to reproduce    i have worked on a minimal example to reproduce the bug   import pytorch lightning as pl  import torch    class dataset          def   init              super    init             self input dim   input dim          self output dim   output dim        def   getitem              x   torch rand           y   torch randint            return x  y        def   len              return      class model          def   init              super    init             self layer   torch nn linear           self dataset   dataset         def forward            yhat   torch softmax                return f nll loss         def train dataloader            return torch utils data dataloader         def configure optimizers            return torch optim adam   lr             def training step            loss   self forward           return   loss   loss   log     loss   los,d735055e6fb6225ad11c566e3711888c0cb4a21e,pytorch_lightning\trainer\__init__.py
1156,ReduceLROnPlateau does not recognise val_loss despite progress_bar dict,  🐛 bug    when training my model  i get the following message     file  c  users luc   envs pytorch lib site packages pytorch lightning trainer training loop py   line    in train      raise misconfigurationexception   pytorch lightning utilities debugging misconfigurationexception  reducelronplateau conditioned on metric val loss which is not available  available metrics are  loss      ihis is similar to    instance  but i definitely return a progress bar dict with a val loss key in it     code sample      def training step           z  y true   batch         y pred   self forward          loss val   self loss function          return   loss   loss val sqrt         def validation step           z  y true   batch         lr   torch tensor          y pred   self forward          loss val   self loss function          return   val loss   loss val sqrt    lr   lr        def validation epoch end           val loss mean   torch stack  mean          lr   outputs      lr           logs     v,711892a0a293f7c7f951eba0907e1c0ccd2b37d8,docs\source\optimizers.rst
1161,multi-gpu ddp calls validation and testing loops too many times,  when using ddp with multiple gpus  each validation and test loop is called with the entire validation dataset for each gpu   expected behavior is that the dataset is divided appropriately across the gpus   i am using current master    ubuntu      cuda      python        pytorch      venv environment   the problem appears to be in auto add sampler  in data loading py  it does not create a distributedsampler for validation or test datasets    ,6dfe9951e132bdc9896926557138e7a21d4cd000,pytorch_lightning\trainer\data_loading.py
