BR_id,BRsummary,BRdescription,commit_id,file_new_name
10303,TensorflowDebugger does not dump Stack/Pack/Concat nodes,  system information      have i written custom code     yes  os platform and distribution     linux ubuntu      tensorflow installed from     binary  tensorflow version          bazel version     cuda cudnn version              gpu model and memory   titan x pascal  exact command to reproduce     import sys  import tensorflow as tf  from tensorflow python import debug as tf debug    base   tf ones   stacked   tf stack   concat   tf concat     session   tf session   session   tf debug localclidebugwrappersession     with session as default        res   session run   print res      describe the problem    when using the tensorflowdebugger with stacked concated  the stacked concated nodes do not appear in the set of dumped nodes once a run has completed   in addition nodes that fed into these nodes are not dumped    ,6f36e6b27106fb4de065db18b9333a3c6c2fbb89,tensorflow\docs_src\programmers_guide\debugger.md
10428,TensorBoard graph key does not match documentation,  the key in the tensorboard ui indicates a  reference edge  as a single headed arrow       while the documentation shows these as double headed arrows       moreover  it appears that the edges indicated as references edges in the ui   are not in fact such edges  for example neither  cs   tf constant   vs   tf variable   tf add   tf add           note  tf add           should include reference edges    but in both cases the key in the ui says that they do    ,65ce8c723da2da639af0f1dd237d50d2680a4cd9,tensorflow\tensorboard\components\tf_graph\tf-graph-scene.html
10519,tf.contrib.data: tf-slim training pipeline gets stuck,  system information        have i written custom code     yes      os platform and distribution     linux               smp debian               gnu linux  version id      version            tensorflow installed from     binary      tensorflow version     tf version            tf git version                tf compiler version                    bazel version     none      cuda cudnn version                gpu model and memory   titan x           exact command to reproduce   python   mwe py      describe the problem    i recently ported my dataset handling to the new dataset api from   now it seems that the  training pipeline stalls if i request just   or   cpus for my job    i does work if i grab   cpus  i tried to come up with a mwe    the interesting thing is that it is not getting stuck if i remove one of the s or  at line    i suspect this issue is related to        source code   logs    import os  import tensorflow as tf  import tensorflow contrib data as tcd  import tensorflow c,f5fcd1fdcf896f46aed03c7e61525b48b75d1acc,tensorflow\contrib\data\python\kernel_tests\iterator_ops_test.py
10641,bug: BeamSearchDecoder should not assume that  when time &gt; 0 beam will be full,    scores flat   control flow ops cond         time             lambda  array ops reshape          lambda  scores     num available beam   control flow ops cond         time             lambda  math ops reduce prod          lambda  math ops reduce prod          pick the next beams according to the specified successors function    next beam size   math ops minimum         ops convert to tensor             beam width  dtype dtypes    name  beam width           num available beam     next beam scores  word indices   nn ops top k     next beam scores set shape     word indices set shape       code start from     python ops beam search decoder py      correct me if i am wrong  but i think this code is assuming that  when time     the beam will be full  it is true when the vocabulary is big such as is the case in machine translation  but if the vocabulary is small  the beam might won t be full when time     and might pose a problem   the value of next beam size  in the code seems must be be,be1b702ff357e851eb4a7237728d80fe08220816,tensorflow\contrib\seq2seq\python\kernel_tests\beam_search_decoder_test.py
10729,tf.nn.max_pool wrong docs?,  system information    not applicable  describe the problem    api   states that ksize has length       the size of window for each dimension of the input tensor  however  value is a   d tensor so doesn t this mean that ksize should be length       same for strides   digging into maxpooling op cc shows that there s some check that does     line         op requires                         errors  invalidargument  sliding window ksize field must                                             specify   dimensions           ,d4a21196ac06e49f2581e27af62efc4efd5387c4,tensorflow\python\ops\nn_ops.py
10741,[go] bug in Shape.size for dim == NumDimensions,  system information    this does not matter   describe the problem      when dim equals s numdimensions   the function should return     instead it panics   source code   logs    in shape go     method      func   size             if dim  s numdimensions             return         should be       func   size             if dim   s numdimensions             return          ,76a0a15cb90c370e41766d124a7a11b28c18089a,tensorflow\go\shape.go
11016,map_func of tf.contrib.data.Dataset.map gets dict keys instead of values when the nested structure of Dataset is dict,  system information      have i written custom code    no  os platform and distribution    linux ubuntu      tensorflow installed from    source  tensorflow version    b                     bazel version           cuda cudnn version         gpu model and memory     describe the problem    if the nested structure of  is    will call map func    and pass the keys of  instead of components in the dataset to   it seems that  or  need to be passed to   so that  could transform the elements in the dataset   source code   logs    import tensorflow as tf    def foo        print              return                 tf contrib data dataset from tensors  map    ,9b11f458196f6f0528c9974238497a6c8b6da547,tensorflow\contrib\data\python\kernel_tests\bucketing_test.py
11017,Tfdbg does not work with Coordinator/QueueRunners,  system information      have i written custom code    no  os platform and distribution    linux mint    tensorflow installed from    binary    tensorflow version                       bazel version    n a  cuda cudnn version  n a  gpu model and memory  n a  exact command to reproduce  n a    describe the problem    the tensorflow debugger does not seem to be working with queues  data never seems to be fetched by the queuerunner threads  be it from a file   or preloaded    instead  the coordinator should stop  is true right away  this is only the case after wrapping the session in a tf python debug localclidebugwrappersession  the example should make things clearer   moreover  another error occurs at coordinator join    i am aware of the faq entry on threads    but that does not explain why the data fetching threads would not be working   source code   logs    to make it easiest to replicate  i simply took the example on working with preloaded data    and wrapped the session in there ,41bc76d28b8b301c546cc5624abd37fd8b97b64c,tensorflow\python\client\session.py
11091,tf.nn.elu: incorrect second derivative,  system information      have i written custom code    yes  os platform and distribution    linux ubuntu      tensorflow installed from    binary  tensorflow version           bazel version    n a  cuda cudnn version  cuda       cudnn      gpu model and memory  gtx   ti    exact command to reproduce  see below    tf nn elu gives incorrect second derivatives   consider the graph y       elu    x   tf placeholder    y       tf nn elu   we ll be evaluating at x     x       we can evaluate first derivatives with automatic differentiation   dy    tf gradients   dy eval            this lines up with the analytic answer  y          however  for the second derivative   ddy    tf gradients   ddy eval           whoops  this doesn t look right  analytically  the derivative is y          evaluated at x    this is       workaround    just in case anyone else needs to work around this until it s fixed   def elu        return tf where        looks like second derivatives work with that    ,e121535a7d04cfc7c7dbb09d8694c01eb29da26f,tensorflow\python\kernel_tests\relu_op_test.py
11132,Go: SIGABRT when executing the same node more than once,  problem    in go  when we pass the same node to the fetches list more then once sigabrt is raised   source code   logs    package poc test    import             fmt           tf  github com tensorflow tensorflow tensorflow go            github com tensorflow tensorflow tensorflow go op            testing        func testfunc                create root scope          root    op newscope                define graph               create a constant matrix          a    op const                                          create a constant column vector          b    op const                                  create a matmul operation          mul    op matmul   a  b                finalize the graph          graph       root finalize                create the session          var sess  tf session          sess      tf newsession              run          var results    tf tensor          var err error          if results  err   sess run   err    nil                    t errorf               ,66604b0355b32961f9a532792be2e008cc22221f,tensorflow\core\common_runtime\direct_session.cc
