albumentations-team+albumentations,0.5.1,760,Method,Top@1,Top@5,MRR
albumentations-team+albumentations,0.5.1,760,bjXnet,1.0,1.0,1.0
albumentations-team+albumentations,v0.1.1,180,bjXnet,0.30000000000000004,0.4,0.30000000000000004
albumentations-team+albumentations,v0.1.1,180,bjXnet,0.6,0.7,0.6
albumentations-team+albumentations,v0.1.1,186,bjXnet,1.0,1.0,0.5935897435897436
albumentations-team+albumentations,v0.1.1,186,bjXnet,1.0,1.0,0.5909090909090909
albumentations-team+albumentations,v0.1.1,207,bjXnet,1.0,1.0,1.0
albumentations-team+albumentations,v0.1.1,207,bjXnet,0.1555555555555555,0.25555555555555554,0.1662393162393162
albumentations-team+albumentations,v0.1.1,213,bjXnet,0.6,0.7,0.475
albumentations-team+albumentations,v0.1.1,213,bjXnet,1.0,1.0,1.0
albumentations-team+albumentations,v0.1.1,215,bjXnet,0.30000000000000004,0.4,0.30000000000000004
albumentations-team+albumentations,v0.1.1,215,bjXnet,0.225,0.325,0.225
allegroai+clearml,0.17.2,273,bjXnet,1.0,1.0,1.0
allegroai+clearml,0.17.2,273,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
allenai+allennlp,v0.2.0,292,bjXnet,1.0,1.0,0.7999999999999999
allenai+allennlp,v0.2.0,292,bjXnet,1.0,1.0,0.7999999999999999
allenai+allennlp,v0.2.2,572,bjXnet,0.6,0.7,0.5886846405228758
allenai+allennlp,v0.2.2,572,bjXnet,0.11149425287356321,0.21149425287356322,0.12554370207071291
allenai+allennlp,v1.0.0,4378,bjXnet,0.2666666666666666,0.3666666666666666,0.2424501424501424
allenai+allennlp,v1.0.0,4378,bjXnet,0.43333333333333335,0.5333333333333333,0.2405982905982906
allenai+allennlp,v1.0.0,4427,bjXnet,0.6,0.7,0.6
allenai+allennlp,v1.0.0,4427,bjXnet,0.6,0.7,0.6
allenai+allennlp,v1.0.0,4428,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
allenai+allennlp,v1.0.0,4428,bjXnet,0.1416666666666666,0.2416666666666666,0.1416666666666666
allenai+allennlp,v1.0.0rc4,4255,bjXnet,0.6,0.7,0.6
allenai+allennlp,v1.0.0rc4,4255,bjXnet,0.1625,0.2625,0.1625
allenai+allennlp,v1.0.0rc4,4281,bjXnet,0.1357142857142857,0.2357142857142857,0.1258571428571428
allenai+allennlp,v1.0.0rc4,4281,bjXnet,0.1212765957446808,0.2212765957446808,0.1171318043658469
allenai+allennlp,v1.0.0rc5,4318,bjXnet,1.0,1.0,0.6359582542694496
allenai+allennlp,v1.0.0rc5,4318,bjXnet,0.6,0.7,0.5654761904761905
allenai+allennlp,v1.0.0rc5,4319,bjXnet,1.0,1.0,1.0
allenai+allennlp,v1.0.0rc5,4319,bjXnet,0.2,0.30000000000000004,0.2
allenai+allennlp,v1.0.0rc5,4330,bjXnet,0.1344827586206896,0.23448275862068962,0.1496986663592276
allenai+allennlp,v1.0.0rc5,4330,bjXnet,0.2428571428571428,0.3428571428571428,0.1988073535962718
allenai+allennlp,v1.0.0rc6,4357,bjXnet,0.2,0.30000000000000004,0.20882352941176469
allenai+allennlp,v1.0.0rc6,4357,bjXnet,0.10497512437810941,0.2049751243781094,0.1050320914511412
allenai+allennlp,v1.0.0rc6,4360,bjXnet,0.6,0.7,0.3967965367965367
allenai+allennlp,v1.0.0rc6,4360,bjXnet,1.0,1.0,0.6235897435897436
allenai+allennlp,v1.1.0,4646,bjXnet,0.11724137931034481,0.21724137931034482,0.11724137931034481
allenai+allennlp,v1.1.0,4646,bjXnet,0.1357142857142857,0.2357142857142857,0.1357142857142857
allenai+allennlp,v1.1.0,4649,bjXnet,1.0,1.0,0.6223123915043778
allenai+allennlp,v1.1.0,4649,bjXnet,0.2428571428571428,0.3428571428571428,0.2855553227375261
allenai+allennlp,v1.1.0,4653,bjXnet,0.6,0.7,0.6
allenai+allennlp,v1.1.0,4653,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
allenai+allennlp,v1.1.0,4666,bjXnet,0.6,0.7,0.4125
allenai+allennlp,v1.1.0,4666,bjXnet,0.6,0.7,0.4125
allenai+allennlp,v1.1.0,4715,bjXnet,0.13125,0.23125,0.13125
allenai+allennlp,v1.1.0,4715,bjXnet,0.1046296296296296,0.2046296296296296,0.1046296296296296
allenai+allennlp,v1.1.0,4739,bjXnet,1.0,1.0,0.9333333333333332
allenai+allennlp,v1.1.0,4739,bjXnet,0.19090909090909092,0.2909090909090909,0.193073593073593
allenai+allennlp,v1.1.0rc1,4494,bjXnet,0.30000000000000004,0.4,0.30000000000000004
allenai+allennlp,v1.1.0rc1,4494,bjXnet,0.1188679245283018,0.2188679245283018,0.1188679245283018
allenai+allennlp,v1.1.0rc1,4501,bjXnet,1.0,1.0,1.0
allenai+allennlp,v1.1.0rc1,4501,bjXnet,0.132258064516129,0.23225806451612901,0.132258064516129
allenai+allennlp,v1.1.0rc1,4504,bjXnet,0.1714285714285714,0.2714285714285714,0.1784446058907439
allenai+allennlp,v1.1.0rc1,4504,bjXnet,0.1833333333333333,0.2833333333333333,0.2151937211666275
allenai+allennlp,v1.1.0rc3,4567,bjXnet,0.1625,0.2625,0.1598214285714285
allenai+allennlp,v1.1.0rc3,4567,bjXnet,0.6,0.7,0.49285714285714277
allenai+allennlp,v1.1.0rc4,4612,bjXnet,1.0,1.0,0.6526315789473683
allenai+allennlp,v1.1.0rc4,4612,bjXnet,0.2,0.30000000000000004,0.152680965147453
allenai+allennlp,v1.2.0rc1,4750,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
allenai+allennlp,v1.2.0rc1,4750,bjXnet,0.6,0.7,0.6
allenai+allennlp,v1.2.0rc1,4757,bjXnet,1.0,1.0,1.0
allenai+allennlp,v1.2.0rc1,4757,bjXnet,0.1833333333333333,0.2833333333333333,0.1833333333333333
allenai+allennlp,v1.2.2,4810,bjXnet,1.0,1.0,1.0
allenai+allennlp,v1.2.2,4810,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
allenai+allennlp,v1.2.2,4819,bjXnet,0.1625,0.2625,0.27186888249565166
allenai+allennlp,v1.2.2,4819,bjXnet,0.43333333333333335,0.5333333333333333,0.20896446292986282
allenai+allennlp,v1.2.2,4825,bjXnet,1.0,1.0,0.9333333333333332
allenai+allennlp,v1.2.2,4825,bjXnet,0.15000000000000002,0.25,0.1666666666666666
amaiya+ktrain,v0.11.3,93,bjXnet,1.0,1.0,0.6140845070422535
amaiya+ktrain,v0.11.3,93,bjXnet,0.1333333333333333,0.2333333333333333,0.1325396825396825
apache+incubator-mxnet,0.11.0,8049,bjXnet,0.1357142857142857,0.2357142857142857,0.1357142857142857
apache+incubator-mxnet,0.11.0,8049,bjXnet,0.10211416490486251,0.2021141649048625,0.10211416490486251
apache+incubator-mxnet,0.11.0,8303,bjXnet,0.1125,0.21250000000000002,0.1125
apache+incubator-mxnet,0.11.0,8303,bjXnet,0.1294117647058823,0.22941176470588232,0.1294117647058823
