Project,Version,Bug_ID,Method,GTF,Top_Rank,MRR,MAP
bottlepy+bottle,0.11.6,513,bjXnet,2,1,1.0,0.85
bottlepy+bottle,0.11.6,513,bjXnet,2,1,1.0,0.635714286
bottlepy+bottle,0.12.17,1177,bjXnet,1,1,1.0,1.0
bottlepy+bottle,0.12.17,1177,bjXnet,1,1,1.0,1.0
bottlepy+bottle,0.12.18,1187,bjXnet,2,1,1.0,1.0
bottlepy+bottle,0.12.18,1187,bjXnet,2,1,1.0,1.0
bottlepy+bottle,0.8.5,130,bjXnet,2,1,1.0,1.0
bottlepy+bottle,0.8.5,130,bjXnet,2,1,0.6,0.461111111
bottlepy+bottle,0.8.5,145,bjXnet,2,2,0.433333333,0.35757575799999997
bottlepy+bottle,0.8.5,145,bjXnet,2,15,0.1625,0.186805556
certbot+certbot,v0.0.0.dev20151104,1322,bjXnet,2,2,0.433333333,0.333333333
certbot+certbot,v0.0.0.dev20151104,1322,bjXnet,2,1,1.0,1.0
certbot+certbot,v0.0.0.dev20151107,1417,bjXnet,5,3,0.35,0.34666666700000004
certbot+certbot,v0.0.0.dev20151107,1417,bjXnet,5,1,1.0,0.523232323
certbot+certbot,v0.1.0,1795,bjXnet,2,1,1.0,1.0
certbot+certbot,v0.1.0,1795,bjXnet,2,7,0.225,0.218055556
certbot+certbot,v0.15.0,4840,bjXnet,2,26,0.137037037,0.147089947
certbot+certbot,v0.15.0,4840,bjXnet,2,3,0.35,0.336111111
certbot+certbot,v0.16.0,4945,bjXnet,3,11,0.183333333,0.170276498
certbot+certbot,v0.16.0,4945,bjXnet,3,2,0.433333333,0.411111111
certbot+certbot,v0.23.0,5870,bjXnet,1,3,0.35,0.35
certbot+certbot,v0.23.0,5870,bjXnet,1,9,0.2,0.2
certbot+certbot,v0.3.0,2341,bjXnet,2,1,1.0,0.933333333
certbot+certbot,v0.3.0,2341,bjXnet,2,48,0.12040816300000001,0.121315193
certbot+certbot,v0.30.0,6674,bjXnet,1,244,0.104081633,0.104081633
certbot+certbot,v0.30.0,6674,bjXnet,1,133,0.107462687,0.107462687
certbot+certbot,v0.32.0,6828,bjXnet,2,9,0.2,0.193478261
