id	bug_id	summary	description	report_time	report_timestamp	status	commit	commit_timestamp	files
0	1092	tqdm fails in notebook for versions tqdm&lt; 4.41.0	bug tqdm notebook method version training fails notebook lower version tqdm current requirement enforce reproduce train model tqdm colab notebook expected behavior attributeerror tqdm notebook object attribute reset	2020-03-08 15:46:05	1583682365	resolved fixed	36274bed49cf40c0d9bdabb3058674879badf1e4	1584624198	requirements.txt                                                                    
1	1114	ReduceLROnPlateau scheduler type check	bug incorrect type check scheduler class reducelronplateau pytorch lightning pytorch lightning trainer trainer py line bc01b9a isinstance scheduler optim lr scheduler reducelronplateau believe check isinstance scheduler optim lr scheduler reducelronplateau must look like isinstance scheduler scheduler optim lr scheduler reducelronplateau reproduce steps reproduce behavior create scheduler type optim lr scheduler reducelronplateau configure optimizers method lightningmodule class return optimizer scheduler method place list return optimizer scheduler execute trainer fit module put break point pytorch lightning pytorch lightning trainer trainer py line bc01b9a scheduler reduce plateau make sure condition never true	2020-03-10 22:15:58	1583878558	resolved fixed	384e124490f7a629dc677fc5b658b69afade0a04	1584383710	CHANGELOG.md pytorch_lightning\trainer\trainer.py tests\models\__init__.py tests\models\mixins.py tests\trainer\test_optimizers.py                                                            
2	1116	Wandb logger doesn't upload saved model checkpoint for final epoch	bug training model tpu using wandb logger checkpoint last epoch trained get uploaded wandb reproduce colab notebook	2020-03-11 02:47:18	1583894838	resolved fixed	a707d4bea1a78a98265fd1ea5b7a7a6cadc37fb9	1585608306	CHANGELOG.md pytorch_lightning\loggers\wandb.py tests\loggers\test_wandb.py                                                                
3	1119	Checkpoint fails in single node multi-GPU mode using  DDP	bug checkpoint fails single node multi gpu mode using ddp reproduce python pl example basic example gpu template py distributed backend ddp gpus epoch l home xz anaconda3 envs x lib python3 multiprocessing semaphore tracker py userwarning semaphore tracker appear leaked semaphore clean shutdown len cache traceback recent call last file gpu template py line main hyperparams file gpu template py line main trainer fit model file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer trainer py line fit mp spawn self ddp train nprocs self num gpus args model file home xz anaconda3 envs x lib python3 site package torch multiprocessing spawn py line spawn spawn context join file home xz anaconda3 envs x lib python3 site package torch multiprocessing spawn py line join raise exception msg exception process terminated following error traceback recent call last file home xz anaconda3 envs x lib python3 site package torch multiprocessing spawn py line wrap fn args file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer distrib data parallel py line ddp train self run pretrain routine model file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer trainer py line run pretrain routine self train file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer training loop py line train self run training epoch file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer training loop py line run training epoch self call checkpoint callback file home xz anaconda3 envs x lib python3 site package pytorch lightning trainer training loop py line call checkpoint callback self checkpoint callback validation end self self get model file home xz anaconda3 envs x lib python3 site package pytorch lightning callback model checkpoint py line validation end self check save filepath current epoch file home xz anaconda3 envs x lib python3 site package pytorch lightning callback model checkpoint py line check save self del model delpath file home xz anaconda3 envs x lib python3 site package pytorch lightning callback model checkpoint py line del model o remove filepath filenotfounderror errno file directory home xz pytorch lightning pl example basic example lightning log version checkpoint epoch ckpt	2020-03-11 13:02:06	1583931726	resolved fixed	b4d4e489bf413ebf3288d29c5905d2292ce18d58	1584024600	pytorch_lightning\callbacks\model_checkpoint.py                                                                    
4	1131	Better message when DataLoader is wrong	verge bug improvement bug validation dataloader returning irrelevant staff accidentally length probably edge case combination error getting validation sanity check quite cryptic traceback recent call last file unet waveprop py line trainer fit model file mnt rds home code pytorch lightning pytorch lightning trainer trainer py line fit self run pretrain routine model file mnt rds home code pytorch lightning pytorch lightning trainer trainer py line run pretrain routine false file mnt rds home code pytorch lightning pytorch lightning trainer evaluation loop py line evaluate eval result model validation epoch end output file unet waveprop py line validation epoch end avg loss torch stack x val loss x output mean runtimeerror stack expects non empty tensorlist go code pytorch lightning hour understand happening maybe informative message would make sense one thing would check dataloader size think could take stab pr	2020-03-12 23:01:45	1584054105	resolved fixed	2ccc7456ca421afcdfba0c4482635c99e2593f70	1585608233	CHANGELOG.md pytorch_lightning\trainer\data_loading.py tests\base\__init__.py tests\base\mixins.py tests\trainer\test_dataloaders.py                                                            
5	1139	Can't cast Trainer automatically generated args to their required types	questions help question sure bug put like question problem want add trainer argument custom argumentparser object call add argparse args trainer classmethod method cast trainer argument required type force cast argument like trainer args update accumulate grad batch int trainer args accumulate grad batch train percent check float trainer args train percent check val percent check float trainer args val percent check val check interval int trainer args val check interval track grad norm int trainer args track grad norm max epoch int trainer args max epoch precision int trainer args precision gradient clip val float trainer args gradient clip val pas updated argument trainer trainer pytorch lightning trainer trainer args find central place trainer handle automatically generated argument type tried tried pas argument trainer without handling type instance cast accumulate grad batch integer type exception raised typeerror gradient accumulation support int dict type environment os linux packaging pip version	2020-03-13 12:22:58	1584102178	resolved fixed	ced662fc2790058f5a55ca20244b31003c970ee5	1585076127	CHANGELOG.md pl_examples\full_examples\semantic_segmentation\models\unet\model.py pl_examples\full_examples\semantic_segmentation\models\unet\parts.py pl_examples\full_examples\semantic_segmentation\semseg.py pytorch_lightning\trainer\trainer.py tests\trainer\test_trainer.py tests\trainer\test_trainer_cli.py                                                        
6	1143	`use_amp` is broken in 0.7.0	see use amp deprecated since trainer still accepts argument believe still bug issue hook deal specifically check however trainer set proposed solution use amp passed set precision raise deprecation warning	2020-03-13 17:21:41	1584120101	resolved fixed	4ed3027309fe1882554e9b7ffe33f1aa92c88106	1586175204	CHANGELOG.md pl_examples\basic_examples\gpu_template.py pl_examples\domain_templates\imagenet.py pytorch_lightning\trainer\auto_mix_precision.py pytorch_lightning\trainer\distrib_data_parallel.py pytorch_lightning\trainer\distrib_parts.py pytorch_lightning\trainer\trainer.py pytorch_lightning\trainer\training_loop.py                                                      
7	1155	No validation checks when overfit_pct is set	bug setting overfit pct value exclusive trainer validation check disabled reproduce worked minimal example reproduce bug import pytorch lightning pl import torch class dataset torch utils data dataset def init self input dim output dim super dataset self init self input dim input dim self output dim output dim def getitem self idx x torch rand self input dim torch randint self output dim return x def len self return class model pl lightningmodule def init self input dim output dim super model self init self layer torch nn linear input dim output dim self dataset dataset input dim output dim def forward self x yhat torch softmax self layer x return f nll loss logits def train dataloader self return torch utils data dataloader self dataset batch size def configure optimizers self return torch optim adam self parameter lr def training step self batch batch idx loss self forward batch return loss loss log loss loss def validation step self batch batch idx loss self forward batch return val loss loss log val loss loss name main model model trainer pl trainer overfit pct trainer fit model expected behavior validation check occur normally environment pytorch version debug build cuda used build pytorch os manjaro linux gcc version gcc cmake version could collect python version cuda available cuda runtime version gpu model configuration could collect nvidia driver version could collect cudnn version usr lib libcudnn versions relevant library pip numpy pip pytorch lightning pip torch pip torchvision conda mkl conda pytorch py3 cuda10 cudnn7 pytorch conda pytorch lightning pypi pypi conda torchvision py37 cu101 pytorch	2020-03-15 13:43:17	1584279797	resolved fixed	d735055e6fb6225ad11c566e3711888c0cb4a21e	1585075751	pytorch_lightning\trainer\__init__.py pytorch_lightning\trainer\trainer.py                                                                  
8	1156	ReduceLROnPlateau does not recognise val_loss despite progress_bar dict	bug training model get following message file c users luc miniconda3 envs pytorch lib site package pytorch lightning trainer training loop py line train raise misconfigurationexception pytorch lightning utility debugging misconfigurationexception reducelronplateau conditioned metric val loss available available metric loss ihis similar instance definitely return progress bar dict val loss key see code code sample def training step self batch batch idx z true batch pred self forward z loss val self loss function pred true return loss loss val sqrt def validation step self batch batch idx z true batch lr torch tensor self optim param group lr pred self forward z loss val self loss function pred true return val loss loss val sqrt lr lr def validation epoch end self output val loss mean torch stack x val loss x output mean lr output lr log val loss val loss mean lr lr return val loss val loss mean progress bar log log log expected behavior val loss value picked progress bar environment pytorch version e g os e g linux windows installed pytorch conda pip source pip python version cuda cudnn version gpu model configuration x relevant information	2020-03-15 15:03:34	1584284614	resolved fixed	711892a0a293f7c7f951eba0907e1c0ccd2b37d8	1584624149	docs\source\optimizers.rst pytorch_lightning\core\lightning.py                                                                  
9	1161	multi-gpu ddp calls validation and testing loops too many times	using ddp multiple gpus validation test loop called entire validation dataset gpu expected behavior dataset divided appropriately across gpus using current master cloned mar ubuntu cuda python pytorch venv environment problem appears auto add sampler data loading py create distributedsampler validation test datasets	2020-03-16 18:09:55	1584382195	resolved fixed	6dfe9951e132bdc9896926557138e7a21d4cd000	1585584814	pytorch_lightning\trainer\data_loading.py                                                                    
