Project,Bug_ID,MRR,MAP
bottlepy+bottle,130,0.967032967,0.677960928
bottlepy+bottle,145,0.994505495,0.590525015
bottlepy+bottle,513,1,0.870748299
bottlepy+bottle,1177,1,1
bottlepy+bottle,1187,1,0.88980464
certbot+certbot,1322,1,0.629268581
certbot+certbot,1417,0.14663287,0.288714891
certbot+certbot,1795,0.633866134,0.620115995
certbot+certbot,2341,0.35952381,0.270779221
certbot+certbot,2542,0.716686675,0.716686675
certbot+certbot,3179,0.06512605,0.098390907
certbot+certbot,3637,0.346403596,0.215888695
certbot+certbot,3987,0.023387182,0.022701631
certbot+certbot,4011,0.045957888,0.045957888
certbot+certbot,4840,0.654119106,0.353373087
certbot+certbot,4945,0.458458945,0.224452089
certbot+certbot,5870,0.715549937,0.715549937
certbot+certbot,6674,0.489803176,0.489803176
certbot+certbot,6828,0.150857588,0.101119792
certbot+certbot,6836,0.715351812,0.715351812
certbot+certbot,6899,0.715401786,0.501507253
certbot+certbot,6901,0.022671775,0.029913217
certbot+certbot,6955,0.00436014,0.00436014
certbot+certbot,6974,0.253718504,0.146717227
certbot+certbot,7089,0.103574596,0.103574596
certbot+certbot,7110,0.495641613,0.335634734
certbot+certbot,7115,0.739194139,0.18026638
certbot+certbot,7152,0.489260739,0.52128787
certbot+certbot,7212,0.370879121,0.141364358
certbot+certbot,7248,0.723214286,0.723214286
certbot+certbot,7305,0.715522573,0.715522573
certbot+certbot,7405,0.624867505,0.323334466
certbot+certbot,7452,0.26007326,0.287922603
certbot+certbot,7454,0.736263736,0.434390823
certbot+certbot,7500,0.442575138,0.411388687
certbot+certbot,7502,0.514501185,0.53214821
certbot+certbot,7553,1,0.391734795
certbot+certbot,7683,0.632789791,0.632789791
certbot+certbot,7692,0.145082471,0.145082471
certbot+certbot,8540,0.432011078,0.18516726
certbot+certbot,8569,0.630702631,0.356849734
certbot+certbot,8848,0.045955969,0.052392804
certbot+certbot,8940,0.746862661,0.465693235
certbot+certbot,9481,0.718220889,0.718220889
certbot+certbot,9635,0.495602597,0.504736219
cherrypy+cherrypy,1675,0.77003663,0.77003663
cherrypy+cherrypy,1693,0.934981685,0.934981685
cherrypy+cherrypy,1818,0.721040864,0.65762876
cherrypy+cherrypy,1873,0.738173591,0.738173591
encode+django-rest-framework,707,0.654290154,0.654290154
encode+django-rest-framework,940,0.069346519,0.069346519
encode+django-rest-framework,1035,0.397959184,0.307099436
encode+django-rest-framework,1517,0.109183673,0.109183673
encode+django-rest-framework,1519,0.725714286,0.725714286
encode+django-rest-framework,1708,0.75,0.397105444
encode+django-rest-framework,1773,0.581585082,0.628067453
encode+django-rest-framework,1774,0.58008658,0.58008658
encode+django-rest-framework,1775,0.581585082,0.499050949
encode+django-rest-framework,1811,0.093783233,0.104984439
encode+django-rest-framework,2168,0.93877551,0.842202486
encode+django-rest-framework,2169,0.741796665,0.746232676
encode+django-rest-framework,2194,0.936192839,0.936192839
encode+django-rest-framework,2202,0.789672693,0.789672693
encode+django-rest-framework,2466,0.171436256,0.170136369
encode+django-rest-framework,2563,0.32548404,0.24554674
encode+django-rest-framework,2872,0.528465186,0.528465186
encode+django-rest-framework,3274,0.678794889,0.71931271
encode+django-rest-framework,3559,0.255952381,0.255952381
encode+django-rest-framework,3647,0.109137783,0.08321432
encode+django-rest-framework,3674,0.578983516,0.375607818
encode+django-rest-framework,4655,0.401771698,0.401771698
encode+django-rest-framework,4749,0.042200086,0.052585517
encode+django-rest-framework,5258,0.720634921,0.720634921
encode+django-rest-framework,5337,0.383699634,0.303976181
encode+django-rest-framework,5371,0.067043533,0.067043533
encode+django-rest-framework,5395,0.588667743,0.1921498
encode+django-rest-framework,5528,0.791016002,0.450439928
encode+django-rest-framework,5582,0.547273045,0.288138116
encode+django-rest-framework,5594,0.602254888,0.378839069
encode+django-rest-framework,5675,0.174718139,0.174987681
encode+django-rest-framework,5873,0.072684275,0.058710174
encode+django-rest-framework,6088,0.778649922,0.629790632
encode+django-rest-framework,6094,0.719887955,0.719318978
encode+django-rest-framework,6280,0.725292421,0.434699307
encode+django-rest-framework,6317,0.720238095,0.720238095
encode+django-rest-framework,6324,0.75,0.736538462
encode+django-rest-framework,6504,0.770792933,0.477079725
encode+django-rest-framework,6834,0.934790484,0.934859151
