Project,Version,Bug_ID,Method,GTF,Top_Rank,MRR,MAP
bottlepy+bottle,0.11.6,513,buglocator,2,1,1,0.75
bottlepy+bottle,0.11.6,513,bluir,2,1,1,0.535714286
bottlepy+bottle,0.12.17,1177,buglocator,1,1,1,1
bottlepy+bottle,0.12.17,1177,bluir,1,1,1,1
bottlepy+bottle,0.12.18,1187,buglocator,2,1,1,1
bottlepy+bottle,0.12.18,1187,bluir,2,1,1,1
bottlepy+bottle,0.8.5,130,buglocator,2,1,1,1
bottlepy+bottle,0.8.5,130,bluir,2,2,0.5,0.361111111
bottlepy+bottle,0.8.5,145,buglocator,2,3,0.333333333,0.257575758
bottlepy+bottle,0.8.5,145,bluir,2,16,0.0625,0.086805556
certbot+certbot,v0.0.0.dev20151104,1322,buglocator,2,3,0.333333333,0.233333333
certbot+certbot,v0.0.0.dev20151104,1322,bluir,2,1,1,1
certbot+certbot,v0.0.0.dev20151107,1417,buglocator,5,4,0.25,0.246666667
certbot+certbot,v0.0.0.dev20151107,1417,bluir,5,1,1,0.423232323
certbot+certbot,v0.1.0,1795,buglocator,2,1,1,1
certbot+certbot,v0.1.0,1795,bluir,2,8,0.125,0.118055556
certbot+certbot,v0.15.0,4840,buglocator,2,27,0.037037037,0.047089947
certbot+certbot,v0.15.0,4840,bluir,2,4,0.25,0.236111111
certbot+certbot,v0.16.0,4945,buglocator,3,12,0.083333333,0.070276498
certbot+certbot,v0.16.0,4945,bluir,3,3,0.333333333,0.311111111
certbot+certbot,v0.23.0,5870,buglocator,1,4,0.25,0.25
certbot+certbot,v0.23.0,5870,bluir,1,10,0.1,0.1
certbot+certbot,v0.3.0,2341,buglocator,2,1,1,0.833333333
certbot+certbot,v0.3.0,2341,bluir,2,49,0.020408163,0.021315193
certbot+certbot,v0.30.0,6674,buglocator,1,245,0.004081633,0.004081633
certbot+certbot,v0.30.0,6674,bluir,1,134,0.007462687,0.007462687
certbot+certbot,v0.32.0,6828,buglocator,2,10,0.1,0.093478261
certbot+certbot,v0.32.0,6828,bluir,2,87,0.011494253,0.014221703
certbot+certbot,v0.32.0,6836,buglocator,1,1,1,1
certbot+certbot,v0.32.0,6836,bluir,1,29,0.034482759,0.034482759
certbot+certbot,v0.32.0,6899,buglocator,2,2,0.5,0.392857143
certbot+certbot,v0.32.0,6899,bluir,2,4,0.25,0.236111111
certbot+certbot,v0.32.0,6901,buglocator,3,22,0.045454545,0.046028708
certbot+certbot,v0.32.0,6901,bluir,3,3,0.333333333,0.198989899
certbot+certbot,v0.33.1,6955,buglocator,1,179,0.005586592,0.005586592
certbot+certbot,v0.33.1,6955,bluir,1,315,0.003174603,0.003174603
certbot+certbot,v0.33.1,6974,buglocator,4,1,1,0.531827136
certbot+certbot,v0.33.1,6974,bluir,4,1,1,0.725
certbot+certbot,v0.34.2,7089,buglocator,1,3,0.333333333,0.333333333
certbot+certbot,v0.34.2,7089,bluir,1,259,0.003861004,0.003861004
certbot+certbot,v0.34.2,7110,buglocator,2,8,0.125,0.115131579
certbot+certbot,v0.34.2,7110,bluir,2,160,0.00625,0.00904216
certbot+certbot,v0.34.2,7115,buglocator,15,9,0.111111111,0.072502458
certbot+certbot,v0.34.2,7115,bluir,15,1,1,0.375141793
certbot+certbot,v0.35.1,7152,buglocator,3,1,1,0.833333333
certbot+certbot,v0.35.1,7152,bluir,3,6,0.166666667,0.142592593
certbot+certbot,v0.35.1,7212,buglocator,24,3,0.333333333,0.38716078
certbot+certbot,v0.35.1,7212,bluir,24,18,0.055555556,0.071703577
certbot+certbot,v0.36.0,7248,buglocator,1,8,0.125,0.125
certbot+certbot,v0.36.0,7248,bluir,1,127,0.007874016,0.007874016
certbot+certbot,v0.36.0,7305,buglocator,1,1,1,1
certbot+certbot,v0.36.0,7305,bluir,1,306,0.003267974,0.003267974
certbot+certbot,v0.38.0,7405,buglocator,3,5,0.2,0.092186089
certbot+certbot,v0.38.0,7405,bluir,3,5,0.2,0.11596548
certbot+certbot,v0.39.0,7452,buglocator,3,8,0.125,0.137745098
certbot+certbot,v0.39.0,7452,bluir,3,3,0.333333333,0.240277778
certbot+certbot,v0.39.0,7454,buglocator,9,1,1,0.585045479
certbot+certbot,v0.39.0,7454,bluir,9,1,1,0.358483286
certbot+certbot,v0.39.0,7500,buglocator,2,6,0.166666667,0.142156863
certbot+certbot,v0.39.0,7500,bluir,2,5,0.2,0.147619048
certbot+certbot,v0.4.0,2542,buglocator,1,1,1,1
certbot+certbot,v0.4.0,2542,bluir,1,1,1,1
certbot+certbot,v0.40.0,7502,buglocator,2,2,0.5,0.583333333
certbot+certbot,v0.40.0,7502,bluir,2,6,0.166666667,0.183333333
certbot+certbot,v0.40.1,7553,buglocator,38,5,0.2,0.263136815
certbot+certbot,v0.40.1,7553,bluir,38,1,1,0.512425646
certbot+certbot,v0.8.1,3179,buglocator,11,48,0.020833333,0.061450951
certbot+certbot,v0.8.1,3179,bluir,11,23,0.043478261,0.080190051
certbot+certbot,v0.9.3,3637,buglocator,2,33,0.03030303,0.043722944
certbot+certbot,v0.9.3,3637,bluir,2,1,1,0.576923077
certbot+certbot,v0.9.3,3987,buglocator,2,95,0.010526316,0.013137174
certbot+certbot,v0.9.3,3987,bluir,2,46,0.02173913,0.031702899
certbot+certbot,v0.9.3,4011,buglocator,1,20,0.05,0.05
certbot+certbot,v0.9.3,4011,bluir,1,24,0.041666667,0.041666667
certbot+certbot,v1.1.0,7683,buglocator,1,2,0.5,0.5
certbot+certbot,v1.1.0,7683,bluir,1,1,1,1
certbot+certbot,v1.1.0,7692,buglocator,1,27,0.037037037,0.037037037
certbot+certbot,v1.1.0,7692,bluir,1,73,0.01369863,0.01369863
certbot+certbot,v1.10.1,8540,buglocator,5,1,1,0.339539995
certbot+certbot,v1.10.1,8540,bluir,5,7,0.142857143,0.063221889
certbot+certbot,v1.10.1,8569,buglocator,4,1,1,0.525
certbot+certbot,v1.10.1,8569,bluir,4,2,0.5,0.355952381
certbot+certbot,v1.15.0,8848,buglocator,2,32,0.03125,0.02932363
certbot+certbot,v1.15.0,8848,bluir,2,19,0.052631579,0.040204678
certbot+certbot,v1.17.0,8940,buglocator,2,5,0.2,0.2
certbot+certbot,v1.17.0,8940,bluir,2,8,0.125,0.153409091
certbot+certbot,v2.0.0,9481,buglocator,1,2,0.5,0.5
certbot+certbot,v2.0.0,9481,bluir,1,12,0.083333333,0.083333333
certbot+certbot,v2.4.0,9635,buglocator,4,1,1,0.691666667
certbot+certbot,v2.4.0,9635,bluir,4,1,1,0.491203704
cherrypy+cherrypy,1285-always-bytes,1675,buglocator,1,3,0.333333333,0.333333333
cherrypy+cherrypy,1285-always-bytes,1675,bluir,1,1,1,1
cherrypy+cherrypy,v14.0.0,1693,buglocator,1,1,1,1
cherrypy+cherrypy,v14.0.0,1693,bluir,1,65,0.015384615,0.015384615
cherrypy+cherrypy,v18.3.0,1818,buglocator,2,12,0.083333333,0.056372549
cherrypy+cherrypy,v18.3.0,1818,bluir,2,10,0.1,0.059174312
cherrypy+cherrypy,v18.6.0,1873,buglocator,1,1,1,1
cherrypy+cherrypy,v18.6.0,1873,bluir,1,2,0.5,0.5
encode+django-rest-framework,2.2.2,707,buglocator,1,2,0.5,0.5
encode+django-rest-framework,2.2.2,707,bluir,1,1,1,1
encode+django-rest-framework,2.3.13,1517,buglocator,1,34,0.029411765,0.029411765
encode+django-rest-framework,2.3.13,1517,bluir,1,37,0.027027027,0.027027027
encode+django-rest-framework,2.3.13,1519,buglocator,1,5,0.2,0.2
encode+django-rest-framework,2.3.13,1519,bluir,1,3,0.333333333,0.333333333
encode+django-rest-framework,2.3.14,1708,buglocator,2,1,1,0.5625
encode+django-rest-framework,2.3.14,1708,bluir,2,29,0.034482759,0.041050903
encode+django-rest-framework,2.3.14,1773,buglocator,3,1,1,1
encode+django-rest-framework,2.3.14,1773,bluir,3,1,1,0.722222222
encode+django-rest-framework,2.3.14,1774,buglocator,1,1,1,1
encode+django-rest-framework,2.3.14,1774,bluir,1,2,0.5,0.5
encode+django-rest-framework,2.3.14,1775,buglocator,2,1,1,0.611111111
encode+django-rest-framework,2.3.14,1775,bluir,2,2,0.5,0.302631579
encode+django-rest-framework,2.3.5,940,buglocator,1,6,0.166666667,0.166666667
encode+django-rest-framework,2.3.5,940,bluir,1,26,0.038461538,0.038461538
encode+django-rest-framework,2.3.6,1035,buglocator,2,1,1,0.75
encode+django-rest-framework,2.3.6,1035,bluir,2,1,1,0.666666667
encode+django-rest-framework,2.4.0,1811,buglocator,2,12,0.083333333,0.113095238
encode+django-rest-framework,2.4.0,1811,bluir,2,56,0.017857143,0.02127425
encode+django-rest-framework,2.4.5,2872,buglocator,1,7,0.142857143,0.142857143
encode+django-rest-framework,2.4.5,2872,bluir,1,4,0.25,0.25
encode+django-rest-framework,3.0.0,2168,buglocator,3,2,0.5,0.314814815
encode+django-rest-framework,3.0.0,2168,bluir,3,1,1,1
encode+django-rest-framework,3.0.0,2169,buglocator,2,3,0.333333333,0.366666667
encode+django-rest-framework,3.0.0,2169,bluir,2,3,0.333333333,0.366666667
encode+django-rest-framework,3.0.0,2194,buglocator,1,1,1,1
encode+django-rest-framework,3.0.0,2194,bluir,1,1,1,1
encode+django-rest-framework,3.0.0,2202,buglocator,1,1,1,1
encode+django-rest-framework,3.0.0,2202,bluir,1,2,0.5,0.5
encode+django-rest-framework,3.0.3,2466,buglocator,2,1,1,1
encode+django-rest-framework,3.0.3,2466,bluir,2,23,0.043478261,0.043478261
encode+django-rest-framework,3.0.5,2563,buglocator,5,6,0.166666667,0.188501289
encode+django-rest-framework,3.0.5,2563,bluir,5,4,0.25,0.236335404
encode+django-rest-framework,3.10.2,6834,buglocator,2,1,1,0.666666667
encode+django-rest-framework,3.10.2,6834,bluir,2,3,0.333333333,0.277777778
encode+django-rest-framework,3.10.2,6856,buglocator,2,2,0.5,0.416666667
encode+django-rest-framework,3.10.2,6856,bluir,2,13,0.076923077,0.105128205
encode+django-rest-framework,3.10.3,7017,buglocator,2,4,0.25,0.153571429
encode+django-rest-framework,3.10.3,7017,bluir,2,17,0.058823529,0.067873303
encode+django-rest-framework,3.11.0,7100,buglocator,2,1,1,0.833333333
encode+django-rest-framework,3.11.0,7100,bluir,2,3,0.333333333,0.416666667
encode+django-rest-framework,3.11.0,7442,buglocator,2,1,1,1
encode+django-rest-framework,3.11.0,7442,bluir,2,11,0.090909091,0.055163283
encode+django-rest-framework,3.13.1,8427,buglocator,2,1,1,0.566666667
encode+django-rest-framework,3.13.1,8427,bluir,2,1,1,0.75
encode+django-rest-framework,3.14.0,8726,buglocator,3,2,0.5,0.271990741
encode+django-rest-framework,3.14.0,8726,bluir,3,2,0.5,0.239177489
encode+django-rest-framework,3.2.2,3274,buglocator,2,2,0.5,0.321428571
encode+django-rest-framework,3.2.2,3274,bluir,2,2,0.5,0.583333333
encode+django-rest-framework,3.3.0,3559,buglocator,1,3,0.333333333,0.333333333
encode+django-rest-framework,3.3.0,3559,bluir,1,3,0.333333333,0.333333333
encode+django-rest-framework,3.3.1,3647,buglocator,2,7,0.142857143,0.113095238
encode+django-rest-framework,3.3.1,3647,bluir,2,12,0.083333333,0.071078431
encode+django-rest-framework,3.3.1,3674,buglocator,4,1,1,0.816666667
encode+django-rest-framework,3.3.1,3674,bluir,4,2,0.5,0.322608696
encode+django-rest-framework,3.5.2,4655,buglocator,1,2,0.5,0.5
encode+django-rest-framework,3.5.2,4655,bluir,1,77,0.012987013,0.012987013
encode+django-rest-framework,3.5.3,4749,buglocator,2,1,1,0.590909091
